time,in,out
2019-07-12 11:39:14,0,0
2019-07-12 11:39:13,0,-9.641468
2019-07-12 11:39:12,0,-10.358532
2019-07-12 11:39:11,0,0
2019-07-12 11:39:10,0,0
2019-07-12 11:39:09,0,0
2019-07-12 11:39:08,0,0
2019-07-12 11:39:07,0,-5.839302
2019-07-12 11:39:06,0,-6.160698
2019-07-12 11:39:05,0,0
2019-07-12 11:39:04,0,0
2019-07-12 11:39:03,0,0
2019-07-12 11:39:02,0,0
2019-07-12 11:39:01,0,0
2019-07-12 11:39:00,0,0
2019-07-12 11:38:59,0,0
2019-07-12 11:38:58,0,0
2019-07-12 11:38:57,0,0
2019-07-12 11:38:56,0,0
2019-07-12 11:38:55,0,0
2019-07-12 11:38:54,0,-5.789149
2019-07-12 11:38:53,0,-10.075529
2019-07-12 11:38:52,0,-4.135321
2019-07-12 11:38:51,0,0
2019-07-12 11:38:50,0,0
2019-07-12 11:38:49,0,0
2019-07-12 11:38:48,0,-1.929835
2019-07-12 11:38:47,0,-2.070165
2019-07-12 11:38:46,0,0
2019-07-12 11:38:45,0,-9.585038
2019-07-12 11:38:44,0,-10.414962
2019-07-12 11:38:43,0,-2.002097
2019-07-12 11:38:42,0,-1.997903
2019-07-12 11:38:41,0,0
2019-07-12 11:38:40,0,0
2019-07-12 11:38:39,0,0
2019-07-12 11:38:38,0,0
2019-07-12 11:38:37,0,0
2019-07-12 11:38:36,0,0
2019-07-12 11:38:35,0,-6.008298
2019-07-12 11:38:34,0,-5.991702
2019-07-12 11:38:33,0,0
2019-07-12 11:38:32,0,0
2019-07-12 11:38:31,0,0
2019-07-12 11:38:30,0,0
2019-07-12 11:38:29,0,0
2019-07-12 11:38:28,0,0
2019-07-12 11:38:27,0,0
2019-07-12 11:38:26,0,0
2019-07-12 11:38:25,0,0
2019-07-12 11:38:24,0,0
2019-07-12 11:38:23,0,0
2019-07-12 11:38:22,0,0
2019-07-12 11:38:21,0,0
2019-07-12 11:38:20,0,0
2019-07-12 11:38:19,0,-7.99976
2019-07-12 11:38:18,0,-8.00024
2019-07-12 11:38:17,0,-2.014473
2019-07-12 11:38:16,0,-1.985527
2019-07-12 11:38:15,0,0
2019-07-12 11:38:14,0,0
2019-07-12 11:38:13,0,-6.301317
2019-07-12 11:38:12,0,-5.698683
2019-07-12 11:38:11,0,0
2019-07-12 11:38:10,0,0
2019-07-12 11:38:09,0,0
2019-07-12 11:38:08,0,0
2019-07-12 11:38:07,0,-2.085386
2019-07-12 11:38:06,0,-1.914614
2019-07-12 11:38:05,0,-6.25288
2019-07-12 11:38:04,0,-5.74712
2019-07-12 11:38:03,0,0
2019-07-12 11:38:02,0,0
2019-07-12 11:38:01,0,0
2019-07-12 11:38:00,0,0
2019-07-12 11:37:59,0,0
2019-07-12 11:37:58,0,0
2019-07-12 11:37:57,0,0
2019-07-12 11:37:56,0,0
2019-07-12 11:37:55,0,0
2019-07-12 11:37:54,0,0
2019-07-12 11:37:53,0,0
2019-07-12 11:37:52,0,0
2019-07-12 11:37:51,0,0
2019-07-12 11:37:50,0,0
2019-07-12 11:37:49,0,-8.363861
2019-07-12 11:37:48,0,-7.636139
2019-07-12 11:37:47,0,-2.088509
2019-07-12 11:37:46,0,-1.911491
2019-07-12 11:37:45,0,0
2019-07-12 11:37:44,0,0
2019-07-12 11:37:43,0,-6.572524
2019-07-12 11:37:42,0,-5.427476
2019-07-12 11:37:41,0,0
2019-07-12 11:37:40,0,0
2019-07-12 11:37:39,0,0
2019-07-12 11:37:38,0,0
2019-07-12 11:37:37,0,-2.180525
2019-07-12 11:37:36,0,-1.819475
2019-07-12 11:37:35,0,0
2019-07-12 11:37:34,0,0
2019-07-12 11:37:33,0,-6.543448
2019-07-12 11:37:32,0,-5.456552
2019-07-12 11:37:31,0,0
2019-07-12 11:37:30,0,0
2019-07-12 11:37:29,0,0
2019-07-12 11:37:28,0,0
2019-07-12 11:37:27,0,-2.172241
2019-07-12 11:37:26,0,-1.827759
2019-07-12 11:37:25,0,0
2019-07-12 11:37:24,0,0
2019-07-12 11:37:23,0,0
2019-07-12 11:37:22,0,0
2019-07-12 11:37:21,0,0
2019-07-12 11:37:20,0,-8.681583
2019-07-12 11:37:19,0,-7.318417
2019-07-12 11:37:18,0,0
2019-07-12 11:37:17,0,0
2019-07-12 11:37:16,0,0
2019-07-12 11:37:15,0,0
2019-07-12 11:37:14,0,0
2019-07-12 11:37:13,0,-6.800255
2019-07-12 11:37:12,0,-5.199745
2019-07-12 11:37:11,0,0
2019-07-12 11:37:10,0,0
2019-07-12 11:37:09,0,0
2019-07-12 11:37:08,0,0
2019-07-12 11:37:07,0,0
2019-07-12 11:37:06,0,0
2019-07-12 11:37:05,0,0
2019-07-12 11:37:04,0,0
2019-07-12 11:37:03,0,-6.747343
