time,interrupts
2019-07-12 11:41:11,155.19866
2019-07-12 11:41:10,157.13659
2019-07-12 11:41:09,134.6468
2019-07-12 11:41:08,147.15734
2019-07-12 11:41:07,147.97545
2019-07-12 11:41:06,146.22791
2019-07-12 11:41:05,142.20282
2019-07-12 11:41:04,141.0432
2019-07-12 11:41:03,132.69855
2019-07-12 11:41:02,135.72675
2019-07-12 11:41:01,142.387
2019-07-12 11:41:00,149.83719
2019-07-12 11:40:59,144.70941
2019-07-12 11:40:58,133.33976
2019-07-12 11:40:57,141.74889
2019-07-12 11:40:56,145.75573
2019-07-12 11:40:55,124.54057
2019-07-12 11:40:54,127.83046
2019-07-12 11:40:53,140.52553
2019-07-12 11:40:52,140.39883
2019-07-12 11:40:51,161.93052
2019-07-12 11:40:50,180.6526
2019-07-12 11:40:49,149.84084
2019-07-12 11:40:48,154.0642
2019-07-12 11:40:47,153.4169
2019-07-12 11:40:46,153.20332
2019-07-12 11:40:45,152.85165
2019-07-12 11:40:44,197.8353
2019-07-12 11:40:43,211.9788
2019-07-12 11:40:42,154.37741
2019-07-12 11:40:41,152.94324
2019-07-12 11:40:40,160.328
2019-07-12 11:40:39,164.75555
2019-07-12 11:40:38,155.54188
2019-07-12 11:40:37,140.44069
2019-07-12 11:40:36,169.4943
2019-07-12 11:40:35,170.8951
2019-07-12 11:40:34,140.53265
2019-07-12 11:40:33,151.64024
2019-07-12 11:40:32,152.69252
2019-07-12 11:40:31,157.18394
2019-07-12 11:40:30,156.01981
2019-07-12 11:40:29,153.92318
2019-07-12 11:40:28,155.02586
2019-07-12 11:40:27,142.35155
2019-07-12 11:40:26,126.79821
2019-07-12 11:40:25,145.10114
2019-07-12 11:40:24,170.0041
2019-07-12 11:40:23,161.86729
2019-07-12 11:40:22,126.64232
2019-07-12 11:40:21,138.49233
2019-07-12 11:40:20,154.63012
2019-07-12 11:40:19,152.67053
2019-07-12 11:40:18,153.04911
2019-07-12 11:40:17,144.49575
2019-07-12 11:40:16,152.27755
2019-07-12 11:40:15,169.1298
2019-07-12 11:40:14,219.153
2019-07-12 11:40:13,236.7888
2019-07-12 11:40:12,159.36919
2019-07-12 11:40:11,154.42038
2019-07-12 11:40:10,157.94914
2019-07-12 11:40:09,149.52632
2019-07-12 11:40:08,152.92137
2019-07-12 11:40:07,139.64552
2019-07-12 11:40:06,132.94834
2019-07-12 11:40:05,146.76881
2019-07-12 11:40:04,149.85671
2019-07-12 11:40:03,167.6855
2019-07-12 11:40:02,176.462
2019-07-12 11:40:01,148.57684
2019-07-12 11:40:00,147.10972
2019-07-12 11:39:59,145.99886
2019-07-12 11:39:58,149.11101
2019-07-12 11:39:57,152.55499
2019-07-12 11:39:56,156.42644
2019-07-12 11:39:55,161.04277
2019-07-12 11:39:54,154.73159
2019-07-12 11:39:53,159.30599
2019-07-12 11:39:52,161.25308
2019-07-12 11:39:51,153.35576
2019-07-12 11:39:50,160.23376
2019-07-12 11:39:49,153.3788
2019-07-12 11:39:48,150.51063
2019-07-12 11:39:47,151.17178
2019-07-12 11:39:46,157.36506
2019-07-12 11:39:45,165.1555
2019-07-12 11:39:44,170.6083
2019-07-12 11:39:43,172.3032
2019-07-12 11:39:42,161.78214
2019-07-12 11:39:41,163.90112
2019-07-12 11:39:40,166.93371
2019-07-12 11:39:39,152.75278
2019-07-12 11:39:38,144.79545
2019-07-12 11:39:37,133.01492
2019-07-12 11:39:36,131.76021
2019-07-12 11:39:35,127.11118
2019-07-12 11:39:34,125.40186
2019-07-12 11:39:33,141.36431
2019-07-12 11:39:32,152.9953
2019-07-12 11:39:31,177.8125
2019-07-12 11:39:30,175.9884
2019-07-12 11:39:29,142.90413
2019-07-12 11:39:28,148.57262
2019-07-12 11:39:27,153.62659
2019-07-12 11:39:26,144.86967
2019-07-12 11:39:25,135.89521
2019-07-12 11:39:24,136.00017
2019-07-12 11:39:23,138.63614
2019-07-12 11:39:22,143.09009
2019-07-12 11:39:21,155.6281
2019-07-12 11:39:20,162.62568
2019-07-12 11:39:19,154.89167
2019-07-12 11:39:18,142.63123
2019-07-12 11:39:17,133.14988
2019-07-12 11:39:16,143.3855
2019-07-12 11:39:15,150.66216
2019-07-12 11:39:14,183.584
2019-07-12 11:39:13,199.5999
2019-07-12 11:39:12,171.3853
2019-07-12 11:39:11,166.29024
2019-07-12 11:39:10,166.92847
2019-07-12 11:39:09,162.07852
2019-07-12 11:39:08,159.65597
2019-07-12 11:39:07,156.77529
2019-07-12 11:39:06,150.87622
2019-07-12 11:39:05,146.55322
2019-07-12 11:39:04,154.30168
2019-07-12 11:39:03,158.77501
2019-07-12 11:39:02,158.95918
2019-07-12 11:39:01,187.6132
2019-07-12 11:39:00,186.448
2019-07-12 11:38:59,143.42428
2019-07-12 11:38:58,137.66339
2019-07-12 11:38:57,144.96571
2019-07-12 11:38:56,144.70819
2019-07-12 11:38:55,147.21447
2019-07-12 11:38:54,147.15883
2019-07-12 11:38:53,153.61035
