time,uptime
2019-07-12 11:38:23,1065.002
2019-07-12 11:38:22,1064.001
2019-07-12 11:38:21,1063.002
2019-07-12 11:38:20,1062.004
2019-07-12 11:38:19,1061.005
2019-07-12 11:38:18,1060.001
2019-07-12 11:38:17,1059
2019-07-12 11:38:16,1058.008
2019-07-12 11:38:15,1057
2019-07-12 11:38:14,1056.002
2019-07-12 11:38:13,1055.009
2019-07-12 11:38:12,1054.007
2019-07-12 11:38:11,1053.002
2019-07-12 11:38:10,1052.002
2019-07-12 11:38:09,1051.004
2019-07-12 11:38:08,1050
2019-07-12 11:38:07,1049.001
2019-07-12 11:38:06,1048.001
2019-07-12 11:38:05,1047.001
2019-07-12 11:38:04,1046
2019-07-12 11:38:03,1045.001
2019-07-12 11:38:02,1044.001
2019-07-12 11:38:01,1043.004
2019-07-12 11:38:00,1042
2019-07-12 11:37:59,1041.005
2019-07-12 11:37:58,1040
2019-07-12 11:37:57,1039.001
2019-07-12 11:37:56,1038
2019-07-12 11:37:55,1037.007
2019-07-12 11:37:54,1036
2019-07-12 11:37:53,1035.001
2019-07-12 11:37:52,1034.004
2019-07-12 11:37:51,1033
2019-07-12 11:37:50,1032.001
2019-07-12 11:37:49,1031.004
2019-07-12 11:37:48,1030.003
2019-07-12 11:37:47,1029.002
2019-07-12 11:37:46,1028.001
2019-07-12 11:37:45,1027.002
2019-07-12 11:37:44,1026
2019-07-12 11:37:43,1025.008
2019-07-12 11:37:42,1024.003
2019-07-12 11:37:41,1023.008
2019-07-12 11:37:40,1022.003
2019-07-12 11:37:39,1021.001
2019-07-12 11:37:38,1020.005
2019-07-12 11:37:37,1019.001
2019-07-12 11:37:36,1018.002
2019-07-12 11:37:35,1017.005
2019-07-12 11:37:34,1016.003
2019-07-12 11:37:33,1015.001
2019-07-12 11:37:32,1014.004
2019-07-12 11:37:31,1013.004
2019-07-12 11:37:30,1012.002
2019-07-12 11:37:29,1011
2019-07-12 11:37:28,1010.004
2019-07-12 11:37:27,1009.001
2019-07-12 11:37:26,1008.002
2019-07-12 11:37:25,1007.001
2019-07-12 11:37:24,1006.002
2019-07-12 11:37:23,1005.01
2019-07-12 11:37:22,1004.001
2019-07-12 11:37:21,1003
