time,avail
2019-07-12 11:45:06,1537.6406
2019-07-12 11:45:05,1537.6406
2019-07-12 11:45:04,1537.6406
2019-07-12 11:45:03,1537.6406
2019-07-12 11:45:02,1537.7656
2019-07-12 11:45:01,1537.7656
2019-07-12 11:45:00,1537.7656
2019-07-12 11:44:59,1537.7656
2019-07-12 11:44:58,1537.7656
2019-07-12 11:44:57,1537.7656
2019-07-12 11:44:56,1537.7656
2019-07-12 11:44:55,1537.7656
2019-07-12 11:44:54,1537.7656
2019-07-12 11:44:53,1537.7656
2019-07-12 11:44:52,1537.7656
2019-07-12 11:44:51,1537.7656
2019-07-12 11:44:50,1537.7656
2019-07-12 11:44:49,1537.7656
2019-07-12 11:44:48,1537.7656
2019-07-12 11:44:47,1537.7656
2019-07-12 11:44:46,1537.7656
2019-07-12 11:44:45,1537.6445
2019-07-12 11:44:44,1537.7656
2019-07-12 11:44:43,1537.7578
2019-07-12 11:44:42,1537.7578
2019-07-12 11:44:41,1537.7578
2019-07-12 11:44:40,1537.7539
2019-07-12 11:44:39,1537.7539
2019-07-12 11:44:38,1537.7539
2019-07-12 11:44:37,1537.7383
2019-07-12 11:44:36,1537.7383
2019-07-12 11:44:35,1537.7383
2019-07-12 11:44:34,1537.6211
2019-07-12 11:44:33,1537.6211
2019-07-12 11:44:32,1537.6211
2019-07-12 11:44:31,1537.6211
2019-07-12 11:44:30,1537.6211
2019-07-12 11:44:29,1537.6211
2019-07-12 11:44:28,1537.6211
2019-07-12 11:44:27,1537.6211
2019-07-12 11:44:26,1537.625
2019-07-12 11:44:25,1537.625
2019-07-12 11:44:24,1537.7461
2019-07-12 11:44:23,1537.7461
2019-07-12 11:44:22,1537.7461
2019-07-12 11:44:21,1537.7461
2019-07-12 11:44:20,1537.7461
2019-07-12 11:44:19,1537.7461
2019-07-12 11:44:18,1537.7461
2019-07-12 11:44:17,1537.7461
2019-07-12 11:44:16,1537.7461
2019-07-12 11:44:15,1537.7461
2019-07-12 11:44:14,1537.7461
2019-07-12 11:44:13,1537.7461
2019-07-12 11:44:12,1537.7383
2019-07-12 11:44:11,1537.7383
2019-07-12 11:44:10,1537.7383
2019-07-12 11:44:09,1537.7383
2019-07-12 11:44:08,1537.7383
2019-07-12 11:44:07,1537.7227
2019-07-12 11:44:06,1537.8438
2019-07-12 11:44:05,1537.8398
2019-07-12 11:44:04,1537.8398
2019-07-12 11:44:03,1537.8398
2019-07-12 11:44:02,1537.8398
2019-07-12 11:44:01,1537.8398
2019-07-12 11:44:00,1537.8398
2019-07-12 11:43:59,1537.8398
2019-07-12 11:43:58,1537.8398
2019-07-12 11:43:57,1537.8359
2019-07-12 11:43:56,1537.8359
2019-07-12 11:43:55,1537.8359
2019-07-12 11:43:54,1537.8398
2019-07-12 11:43:53,1537.8398
2019-07-12 11:43:52,1537.8398
2019-07-12 11:43:51,1537.8398
2019-07-12 11:43:50,1537.8398
2019-07-12 11:43:49,1537.8398
2019-07-12 11:43:48,1537.8438
2019-07-12 11:43:47,1537.8438
2019-07-12 11:43:46,1537.8438
2019-07-12 11:43:45,1537.8438
2019-07-12 11:43:44,1537.8438
2019-07-12 11:43:43,1537.8438
2019-07-12 11:43:42,1537.8438
2019-07-12 11:43:41,1537.8438
2019-07-12 11:43:40,1537.8359
2019-07-12 11:43:39,1537.8359
2019-07-12 11:43:38,1537.8359
2019-07-12 11:43:37,1537.8242
2019-07-12 11:43:36,1537.9453
2019-07-12 11:43:35,1537.9453
2019-07-12 11:43:34,1538.3086
2019-07-12 11:43:33,1538.8906
2019-07-12 11:43:32,1539.1328
2019-07-12 11:43:31,1539.2539
2019-07-12 11:43:30,1539.7344
2019-07-12 11:43:29,1540.0703
2019-07-12 11:43:28,1540.5547
2019-07-12 11:43:27,1541.0391
2019-07-12 11:43:26,1541.1602
2019-07-12 11:43:25,1541.2812
2019-07-12 11:43:24,1541.3906
2019-07-12 11:43:23,1541.5117
2019-07-12 11:43:22,1541.5117
2019-07-12 11:43:21,1541.5117
2019-07-12 11:43:20,1541.5117
2019-07-12 11:43:19,1541.5117
2019-07-12 11:43:18,1541.5117
2019-07-12 11:43:17,1541.5117
2019-07-12 11:43:16,1541.5117
2019-07-12 11:43:15,1541.5117
2019-07-12 11:43:14,1541.5117
2019-07-12 11:43:13,1541.5117
2019-07-12 11:43:12,1541.5117
2019-07-12 11:43:11,1541.5039
2019-07-12 11:43:10,1541.5039
2019-07-12 11:43:09,1541.5039
2019-07-12 11:43:08,1541.4883
2019-07-12 11:43:07,1541.4883
2019-07-12 11:43:06,1541.4883
2019-07-12 11:43:05,1541.4883
2019-07-12 11:43:04,1541.4844
2019-07-12 11:43:03,1541.4844
2019-07-12 11:43:02,1541.4844
2019-07-12 11:43:01,1541.4883
2019-07-12 11:43:00,1541.4883
2019-07-12 11:42:59,1541.4883
2019-07-12 11:42:58,1541.4883
2019-07-12 11:42:57,1541.4883
2019-07-12 11:42:56,1541.4883
2019-07-12 11:42:55,1541.4883
2019-07-12 11:42:54,1541.4883
2019-07-12 11:42:53,1541.4883
2019-07-12 11:42:52,1541.4883
2019-07-12 11:42:51,1541.4883
2019-07-12 11:42:50,1541.4883
2019-07-12 11:42:49,1541.4883
2019-07-12 11:42:48,1541.4883
2019-07-12 11:42:47,1541.4844
2019-07-12 11:42:46,1541.4844
2019-07-12 11:42:45,1541.4453
2019-07-12 11:42:44,1541.4844
2019-07-12 11:42:43,1541.4531
2019-07-12 11:42:42,1538.9102
2019-07-12 11:42:41,1538.9102
2019-07-12 11:42:40,1538.9102
2019-07-12 11:42:39,1538.9102
2019-07-12 11:42:38,1538.9102
2019-07-12 11:42:37,1538.8945
2019-07-12 11:42:36,1538.8945
2019-07-12 11:42:35,1538.8945
2019-07-12 11:42:34,1538.8945
2019-07-12 11:42:33,1538.8945
2019-07-12 11:42:32,1538.8945
2019-07-12 11:42:31,1538.8945
2019-07-12 11:42:30,1538.8945
2019-07-12 11:42:29,1538.8945
2019-07-12 11:42:28,1538.8945
2019-07-12 11:42:27,1538.8945
2019-07-12 11:42:26,1538.8945
2019-07-12 11:42:25,1538.8945
2019-07-12 11:42:24,1538.8945
2019-07-12 11:42:23,1538.8945
2019-07-12 11:42:22,1538.8945
2019-07-12 11:42:21,1538.8945
2019-07-12 11:42:20,1538.8945
2019-07-12 11:42:19,1538.8984
2019-07-12 11:42:18,1538.8984
2019-07-12 11:42:17,1538.8984
2019-07-12 11:42:16,1538.8984
2019-07-12 11:42:15,1538.8984
2019-07-12 11:42:14,1538.8984
2019-07-12 11:42:13,1538.7773
2019-07-12 11:42:12,1538.7773
2019-07-12 11:42:11,1538.7773
2019-07-12 11:42:10,1538.7773
2019-07-12 11:42:09,1538.7773
2019-07-12 11:42:08,1538.7773
2019-07-12 11:42:07,1538.75
2019-07-12 11:42:06,1538.75
2019-07-12 11:42:05,1538.75
2019-07-12 11:42:04,1538.75
2019-07-12 11:42:03,1538.7461
2019-07-12 11:42:02,1538.7461
2019-07-12 11:42:01,1538.75
2019-07-12 11:42:00,1538.75
2019-07-12 11:41:59,1538.75
2019-07-12 11:41:58,1538.75
2019-07-12 11:41:57,1538.75
2019-07-12 11:41:56,1538.75
2019-07-12 11:41:55,1538.75
2019-07-12 11:41:54,1538.75
2019-07-12 11:41:53,1538.75
2019-07-12 11:41:52,1538.75
2019-07-12 11:41:51,1538.75
2019-07-12 11:41:50,1538.75
2019-07-12 11:41:49,1538.75
2019-07-12 11:41:48,1538.75
2019-07-12 11:41:47,1538.75
2019-07-12 11:41:46,1538.75
2019-07-12 11:41:45,1538.75
2019-07-12 11:41:44,1538.7461
2019-07-12 11:41:43,1538.7461
2019-07-12 11:41:42,1538.7461
2019-07-12 11:41:41,1538.7461
2019-07-12 11:41:40,1538.75
2019-07-12 11:41:39,1538.75
2019-07-12 11:41:38,1538.75
2019-07-12 11:41:37,1538.7266
2019-07-12 11:41:36,1538.7266
2019-07-12 11:41:35,1538.7266
2019-07-12 11:41:34,1538.7266
2019-07-12 11:41:33,1538.7266
2019-07-12 11:41:32,1538.7266
2019-07-12 11:41:31,1538.7266
2019-07-12 11:41:30,1538.7266
2019-07-12 11:41:29,1538.7266
2019-07-12 11:41:28,1538.7266
2019-07-12 11:41:27,1538.7266
2019-07-12 11:41:26,1538.7266
2019-07-12 11:41:25,1538.7266
2019-07-12 11:41:24,1538.7266
2019-07-12 11:41:23,1538.7227
2019-07-12 11:41:22,1538.7227
2019-07-12 11:41:21,1538.7227
2019-07-12 11:41:20,1538.7227
2019-07-12 11:41:19,1538.7227
2019-07-12 11:41:18,1538.7227
2019-07-12 11:41:17,1538.7227
2019-07-12 11:41:16,1538.7227
2019-07-12 11:41:15,1538.7227
2019-07-12 11:41:14,1538.7227
2019-07-12 11:41:13,1538.7227
2019-07-12 11:41:12,1538.7227
2019-07-12 11:41:11,1538.7227
2019-07-12 11:41:10,1538.707
2019-07-12 11:41:09,1538.707
2019-07-12 11:41:08,1538.707
2019-07-12 11:41:07,1538.707
2019-07-12 11:41:06,1538.707
2019-07-12 11:41:05,1538.707
2019-07-12 11:41:04,1538.707
2019-07-12 11:41:03,1538.707
2019-07-12 11:41:02,1538.707
2019-07-12 11:41:01,1538.707
2019-07-12 11:41:00,1538.7109
2019-07-12 11:40:59,1538.7109
2019-07-12 11:40:58,1538.7109
2019-07-12 11:40:57,1538.7109
2019-07-12 11:40:56,1538.7109
2019-07-12 11:40:55,1538.7109
2019-07-12 11:40:54,1538.7109
2019-07-12 11:40:53,1538.7109
2019-07-12 11:40:52,1538.7109
2019-07-12 11:40:51,1538.7109
2019-07-12 11:40:50,1538.7031
2019-07-12 11:40:49,1538.7031
2019-07-12 11:40:48,1538.7031
2019-07-12 11:40:47,1538.7031
2019-07-12 11:40:46,1538.7031
2019-07-12 11:40:45,1538.7031
2019-07-12 11:40:44,1538.7031
2019-07-12 11:40:43,1538.7031
2019-07-12 11:40:42,1538.6914
2019-07-12 11:40:41,1538.5703
2019-07-12 11:40:40,1538.5703
2019-07-12 11:40:39,1538.5703
2019-07-12 11:40:38,1538.5625
2019-07-12 11:40:37,1538.5625
2019-07-12 11:40:36,1538.5625
2019-07-12 11:40:35,1538.5625
2019-07-12 11:40:34,1538.5625
2019-07-12 11:40:33,1538.5625
2019-07-12 11:40:32,1538.5625
2019-07-12 11:40:31,1538.5625
2019-07-12 11:40:30,1538.5625
2019-07-12 11:40:29,1538.5625
2019-07-12 11:40:28,1538.5625
2019-07-12 11:40:27,1538.5625
2019-07-12 11:40:26,1538.5625
2019-07-12 11:40:25,1538.5625
2019-07-12 11:40:24,1538.5625
2019-07-12 11:40:23,1538.5156
2019-07-12 11:40:22,1538.5547
2019-07-12 11:40:21,1538.5547
2019-07-12 11:40:20,1538.5547
2019-07-12 11:40:19,1538.5547
2019-07-12 11:40:18,1538.5547
2019-07-12 11:40:17,1538.5547
2019-07-12 11:40:16,1538.6367
2019-07-12 11:40:15,1538.5547
2019-07-12 11:40:14,1538.6758
2019-07-12 11:40:13,1538.6758
2019-07-12 11:40:12,1538.1953
2019-07-12 11:40:11,1538.3164
2019-07-12 11:40:10,1538.3164
2019-07-12 11:40:09,1538.1953
2019-07-12 11:40:08,1538.1953
2019-07-12 11:40:07,1538.1875
2019-07-12 11:40:06,1538.1875
2019-07-12 11:40:05,1538.1875
2019-07-12 11:40:04,1538.1875
2019-07-12 11:40:03,1538.1875
2019-07-12 11:40:02,1538.1875
2019-07-12 11:40:01,1538.1875
2019-07-12 11:40:00,1538.1875
2019-07-12 11:39:59,1538.1875
2019-07-12 11:39:58,1538.1797
2019-07-12 11:39:57,1538.0586
2019-07-12 11:39:56,1538.0586
2019-07-12 11:39:55,1538.0586
2019-07-12 11:39:54,1538.0586
2019-07-12 11:39:53,1538.0586
2019-07-12 11:39:52,1538.0586
2019-07-12 11:39:51,1538.0586
2019-07-12 11:39:50,1538.0586
2019-07-12 11:39:49,1538.0586
2019-07-12 11:39:48,1538.0586
2019-07-12 11:39:47,1538.0586
2019-07-12 11:39:46,1538.0469
2019-07-12 11:39:45,1538.0469
2019-07-12 11:39:44,1538.0469
2019-07-12 11:39:43,1538.0469
2019-07-12 11:39:42,1538.0156
2019-07-12 11:39:41,1538.0156
2019-07-12 11:39:40,1538.0156
2019-07-12 11:39:39,1537.8945
2019-07-12 11:39:38,1538.0078
2019-07-12 11:39:37,1538.0078
2019-07-12 11:39:36,1538.0078
2019-07-12 11:39:35,1538.0078
2019-07-12 11:39:34,1538.0078
2019-07-12 11:39:33,1538.0078
2019-07-12 11:39:32,1538.0117
2019-07-12 11:39:31,1538.0117
2019-07-12 11:39:30,1538.0117
2019-07-12 11:39:29,1538.0117
2019-07-12 11:39:28,1538.0117
2019-07-12 11:39:27,1538.0117
2019-07-12 11:39:26,1537.9805
2019-07-12 11:39:25,1537.9805
2019-07-12 11:39:24,1537.9805
2019-07-12 11:39:23,1537.9414
2019-07-12 11:39:22,1537.8594
2019-07-12 11:39:21,1537.8594
2019-07-12 11:39:20,1537.8594
2019-07-12 11:39:19,1537.9727
2019-07-12 11:39:18,1537.9727
2019-07-12 11:39:17,1537.9727
2019-07-12 11:39:16,1538.0938
2019-07-12 11:39:15,1538.0938
2019-07-12 11:39:14,1538.0938
2019-07-12 11:39:13,1538.0938
2019-07-12 11:39:12,1538.0938
2019-07-12 11:39:11,1538.0703
2019-07-12 11:39:10,1538.0703
2019-07-12 11:39:09,1538.0703
2019-07-12 11:39:08,1538.0703
2019-07-12 11:39:07,1538.0703
2019-07-12 11:39:06,1538.0703
2019-07-12 11:39:05,1538.0703
2019-07-12 11:39:04,1538.0703
2019-07-12 11:39:03,1538.0703
2019-07-12 11:39:02,1538.0703
2019-07-12 11:39:01,1537.9492
2019-07-12 11:39:00,1537.9492
2019-07-12 11:38:59,1537.9492
2019-07-12 11:38:58,1538.0703
2019-07-12 11:38:57,1538.0703
2019-07-12 11:38:56,1538.0703
2019-07-12 11:38:55,1538.0703
2019-07-12 11:38:54,1538.0703
2019-07-12 11:38:53,1538.0703
2019-07-12 11:38:52,1537.9492
2019-07-12 11:38:51,1537.9492
2019-07-12 11:38:50,1537.9492
2019-07-12 11:38:49,1537.9492
2019-07-12 11:38:48,1537.9492
2019-07-12 11:38:47,1537.9492
2019-07-12 11:38:46,1537.9492
2019-07-12 11:38:45,1537.9492
2019-07-12 11:38:44,1537.1992
2019-07-12 11:38:43,1536.125
2019-07-12 11:38:42,1536.125
2019-07-12 11:38:41,1536.1094
2019-07-12 11:38:40,1536.1094
2019-07-12 11:38:39,1536.0938
2019-07-12 11:38:38,1536.0938
2019-07-12 11:38:37,1536.0938
2019-07-12 11:38:36,1536.0938
2019-07-12 11:38:35,1536.0938
2019-07-12 11:38:34,1536.0938
2019-07-12 11:38:33,1536.0859
2019-07-12 11:38:32,1536.0859
2019-07-12 11:38:31,1536.0859
2019-07-12 11:38:30,1536.0859
2019-07-12 11:38:29,1536.0859
2019-07-12 11:38:28,1536.0859
2019-07-12 11:38:27,1536.0859
2019-07-12 11:38:26,1536.207
2019-07-12 11:38:25,1536.0859
2019-07-12 11:38:24,1536.0859
2019-07-12 11:38:23,1536.0859
2019-07-12 11:38:22,1536.0859
2019-07-12 11:38:21,1536.0859
2019-07-12 11:38:20,1536.0859
2019-07-12 11:38:19,1536.0859
2019-07-12 11:38:18,1536.0859
2019-07-12 11:38:17,1536.0859
2019-07-12 11:38:16,1536.0859
2019-07-12 11:38:15,1536.0859
2019-07-12 11:38:14,1536.0859
2019-07-12 11:38:13,1536.0859
2019-07-12 11:38:12,1536.0859
2019-07-12 11:38:11,1536.0781
2019-07-12 11:38:10,1536.0781
2019-07-12 11:38:09,1536.0781
2019-07-12 11:38:08,1536.0781
2019-07-12 11:38:07,1536.0781
2019-07-12 11:38:06,1536.0781
2019-07-12 11:38:05,1536.0703
2019-07-12 11:38:04,1536.0703
2019-07-12 11:38:03,1536.0703
2019-07-12 11:38:02,1536.0703
2019-07-12 11:38:01,1536.1914
2019-07-12 11:38:00,1536.1914
2019-07-12 11:37:59,1536.0703
2019-07-12 11:37:58,1536.0625
2019-07-12 11:37:57,1536.0625
2019-07-12 11:37:56,1536.0625
2019-07-12 11:37:55,1536.0625
2019-07-12 11:37:54,1536.0625
2019-07-12 11:37:53,1536.0625
2019-07-12 11:37:52,1536.0625
2019-07-12 11:37:51,1536.0625
2019-07-12 11:37:50,1536.0625
2019-07-12 11:37:49,1536.0625
2019-07-12 11:37:48,1536.0625
2019-07-12 11:37:47,1536.0625
2019-07-12 11:37:46,1536.0625
2019-07-12 11:37:45,1536.0625
2019-07-12 11:37:44,1536.0625
2019-07-12 11:37:43,1536.0586
2019-07-12 11:37:42,1536.0547
2019-07-12 11:37:41,1536.0547
2019-07-12 11:37:40,1536.0547
2019-07-12 11:37:39,1536.0469
2019-07-12 11:37:38,1536.0469
2019-07-12 11:37:37,1536.0469
2019-07-12 11:37:36,1536.0469
2019-07-12 11:37:35,1536.0391
2019-07-12 11:37:34,1536.0391
2019-07-12 11:37:33,1536.0391
2019-07-12 11:37:32,1536.0391
2019-07-12 11:37:31,1536.0391
2019-07-12 11:37:30,1536.0391
2019-07-12 11:37:29,1536.0391
2019-07-12 11:37:28,1536.0391
2019-07-12 11:37:27,1536.0391
2019-07-12 11:37:26,1536.1602
2019-07-12 11:37:25,1536.1602
2019-07-12 11:37:24,1536.1602
2019-07-12 11:37:23,1536.1602
2019-07-12 11:37:22,1536.1602
2019-07-12 11:37:21,1536.1602
2019-07-12 11:37:20,1536.1602
2019-07-12 11:37:19,1536.1602
2019-07-12 11:37:18,1536.1602
2019-07-12 11:37:17,1536.1602
2019-07-12 11:37:16,1536.1602
2019-07-12 11:37:15,1536.1602
2019-07-12 11:37:14,1536.1602
2019-07-12 11:37:13,1536.1602
2019-07-12 11:37:12,1536.0391
