time,switches
2019-07-12 11:41:20,374.3017
2019-07-12 11:41:19,313.5714
2019-07-12 11:41:18,312.5578
2019-07-12 11:41:17,290.8007
2019-07-12 11:41:16,306.8957
2019-07-12 11:41:15,326.3505
2019-07-12 11:41:14,399.4184
2019-07-12 11:41:13,432.0254
2019-07-12 11:41:12,330.84
2019-07-12 11:41:11,328.6017
2019-07-12 11:41:10,332.2621
2019-07-12 11:41:09,290.2158
2019-07-12 11:41:08,314.0388
2019-07-12 11:41:07,299.1614
2019-07-12 11:41:06,298.0061
2019-07-12 11:41:05,289.4858
2019-07-12 11:41:04,282.0519
2019-07-12 11:41:03,280.1677
2019-07-12 11:41:02,294.2228
2019-07-12 11:41:01,302.1503
2019-07-12 11:41:00,313.5592
2019-07-12 11:40:59,296.7751
2019-07-12 11:40:58,281.8574
2019-07-12 11:40:57,290.2145
2019-07-12 11:40:56,299.9347
2019-07-12 11:40:55,279.3129
2019-07-12 11:40:54,273.9257
2019-07-12 11:40:53,290.8708
2019-07-12 11:40:52,295.5447
2019-07-12 11:40:51,342.1103
2019-07-12 11:40:50,367.3269
2019-07-12 11:40:49,296.3184
2019-07-12 11:40:48,299.8987
2019-07-12 11:40:47,307.4186
2019-07-12 11:40:46,319.6805
2019-07-12 11:40:45,333.1429
2019-07-12 11:40:44,416.4498
2019-07-12 11:40:43,445.2171
2019-07-12 11:40:42,325.147
2019-07-12 11:40:41,310.2238
2019-07-12 11:40:40,327.9064
2019-07-12 11:40:39,329.0899
2019-07-12 11:40:38,317.0885
2019-07-12 11:40:37,291.0546
2019-07-12 11:40:36,355.8429
2019-07-12 11:40:35,362.2859
2019-07-12 11:40:34,289.2132
2019-07-12 11:40:33,292.5977
2019-07-12 11:40:32,290.1969
2019-07-12 11:40:31,294.7221
2019-07-12 11:40:30,306.5413
2019-07-12 11:40:29,305.4303
2019-07-12 11:40:28,303.7032
2019-07-12 11:40:27,290.4151
2019-07-12 11:40:26,284.6721
2019-07-12 11:40:25,304.1733
2019-07-12 11:40:24,337.6826
2019-07-12 11:40:23,339.8167
2019-07-12 11:40:22,273.5878
2019-07-12 11:40:21,288.1015
2019-07-12 11:40:20,312.3446
2019-07-12 11:40:19,309.9786
2019-07-12 11:40:18,299.0784
2019-07-12 11:40:17,282.4205
2019-07-12 11:40:16,309.9324
2019-07-12 11:40:15,342.9395
2019-07-12 11:40:14,443.5661
