time,reads,writes
2019-07-12 11:42:50,0,-0.7148398
2019-07-12 11:42:49,0,-1.2851602
2019-07-12 11:42:48,0,0
2019-07-12 11:42:47,0,-0.7138608
2019-07-12 11:42:46,0,-1.2861392
2019-07-12 11:42:45,0,0
2019-07-12 11:42:44,0,0
2019-07-12 11:42:43,0,0
2019-07-12 11:42:42,0,0
2019-07-12 11:42:41,0,0
2019-07-12 11:42:40,0,0
2019-07-12 11:42:39,0,0
2019-07-12 11:42:38,0,0
2019-07-12 11:42:37,0,-1.4964025
2019-07-12 11:42:36,0,-2.503597
2019-07-12 11:42:35,0,-0.7479515
2019-07-12 11:42:34,0,-1.2520485
2019-07-12 11:42:33,0,0
2019-07-12 11:42:32,0,0
2019-07-12 11:42:31,0,0
2019-07-12 11:42:30,0,0
2019-07-12 11:42:29,0,0
2019-07-12 11:42:28,0,0
2019-07-12 11:42:27,0,0
2019-07-12 11:42:26,0,0
2019-07-12 11:42:25,0,0
2019-07-12 11:42:24,0,0
2019-07-12 11:42:23,0,0
2019-07-12 11:42:22,0,0
2019-07-12 11:42:21,0,0
2019-07-12 11:42:20,0,-0.7483696
2019-07-12 11:42:19,0,-1.2516304
2019-07-12 11:42:18,0,0
2019-07-12 11:42:17,0,0
2019-07-12 11:42:16,0,0
2019-07-12 11:42:15,0,0
2019-07-12 11:42:14,0,0
2019-07-12 11:42:13,0,0
2019-07-12 11:42:12,0,0
2019-07-12 11:42:11,0,0
2019-07-12 11:42:10,0,0
2019-07-12 11:42:09,0,0
2019-07-12 11:42:08,0,0
2019-07-12 11:42:07,0,-0.7880153
2019-07-12 11:42:06,0,-1.2119847
2019-07-12 11:42:05,0,0
2019-07-12 11:42:04,0,-0.7918857
2019-07-12 11:42:03,0,-1.2081143
2019-07-12 11:42:02,0,0
2019-07-12 11:42:01,0,0
2019-07-12 11:42:00,0,0
2019-07-12 11:41:59,0,0
2019-07-12 11:41:58,0,0
2019-07-12 11:41:57,0,-0.7919243
2019-07-12 11:41:56,0,-1.2080757
2019-07-12 11:41:55,0,0
2019-07-12 11:41:54,0,0
2019-07-12 11:41:53,0,0
2019-07-12 11:41:52,0,0
2019-07-12 11:41:51,0,0
2019-07-12 11:41:50,0,0
2019-07-12 11:41:49,0,0
2019-07-12 11:41:48,0,0
2019-07-12 11:41:47,0,-0.7861691
2019-07-12 11:41:46,0,-1.2138309
2019-07-12 11:41:45,0,0
2019-07-12 11:41:44,0,-0.3983019
2019-07-12 11:41:43,0,-0.6016981
2019-07-12 11:41:42,0,0
2019-07-12 11:41:41,0,0
2019-07-12 11:41:40,0,0
2019-07-12 11:41:39,0,0
2019-07-12 11:41:38,0,0
2019-07-12 11:41:37,0,-0.8087154
2019-07-12 11:41:36,0,-1.1912846
2019-07-12 11:41:35,0,0
2019-07-12 11:41:34,0,0
2019-07-12 11:41:33,0,0
2019-07-12 11:41:32,0,0
2019-07-12 11:41:31,0,0
2019-07-12 11:41:30,0,0
2019-07-12 11:41:29,0,-0.8101499
2019-07-12 11:41:28,0,-1.1898501
2019-07-12 11:41:27,0,-0.8083384
2019-07-12 11:41:26,0,-1.1916616
2019-07-12 11:41:25,0,0
2019-07-12 11:41:24,0,-0.4040987
2019-07-12 11:41:23,0,-0.5959013
2019-07-12 11:41:22,0,0
2019-07-12 11:41:21,0,0
2019-07-12 11:41:20,0,0
2019-07-12 11:41:19,0,0
2019-07-12 11:41:18,0,0
2019-07-12 11:41:17,0,-0.8096949
2019-07-12 11:41:16,0,-1.1903051
2019-07-12 11:41:15,0,0
2019-07-12 11:41:14,0,0
2019-07-12 11:41:13,0,0
2019-07-12 11:41:12,0,0
2019-07-12 11:41:11,0,0
2019-07-12 11:41:10,0,0
2019-07-12 11:41:09,0,0
2019-07-12 11:41:08,0,0
2019-07-12 11:41:07,0,-0.7912019
2019-07-12 11:41:06,0,-1.2087981
2019-07-12 11:41:05,0,0
2019-07-12 11:41:04,0,0
2019-07-12 11:41:03,0,0
2019-07-12 11:41:02,0,0
2019-07-12 11:41:01,0,0
2019-07-12 11:41:00,0,0
2019-07-12 11:40:59,0,0
2019-07-12 11:40:58,0,0
2019-07-12 11:40:57,0,-0.7931992
2019-07-12 11:40:56,0,-1.2068008
2019-07-12 11:40:55,0,0
2019-07-12 11:40:54,0,-0.3970113
2019-07-12 11:40:53,0,-0.6029887
2019-07-12 11:40:52,0,0
2019-07-12 11:40:51,0,0
2019-07-12 11:40:50,0,0
2019-07-12 11:40:49,0,-1.1969464
2019-07-12 11:40:48,0,-1.803054
2019-07-12 11:40:47,0,0
2019-07-12 11:40:46,0,0
2019-07-12 11:40:45,0,0
2019-07-12 11:40:44,0,-0.4065534
2019-07-12 11:40:43,0,-0.5934466
2019-07-12 11:40:42,0,-0.8360577
2019-07-12 11:40:41,0,-1.1639423
2019-07-12 11:40:40,0,0
2019-07-12 11:40:39,0,0
2019-07-12 11:40:38,0,0
2019-07-12 11:40:37,0,0
2019-07-12 11:40:36,0,0
2019-07-12 11:40:35,0,0
2019-07-12 11:40:34,0,0
2019-07-12 11:40:33,0,0
2019-07-12 11:40:32,0,0
2019-07-12 11:40:31,0,0
2019-07-12 11:40:30,0,-0.8427709
2019-07-12 11:40:29,0,-1.1572291
2019-07-12 11:40:28,0,0
2019-07-12 11:40:27,0,0
2019-07-12 11:40:26,0,0
2019-07-12 11:40:25,0,0
2019-07-12 11:40:24,0,0
2019-07-12 11:40:23,0,0
2019-07-12 11:40:22,0,0
2019-07-12 11:40:21,0,0
2019-07-12 11:40:20,0,-0.8343167
2019-07-12 11:40:19,0,-1.1656833
2019-07-12 11:40:18,0,0
2019-07-12 11:40:17,0,0
2019-07-12 11:40:16,0,0
2019-07-12 11:40:15,0,0
2019-07-12 11:40:14,0,0
2019-07-12 11:40:13,0,0
2019-07-12 11:40:12,0,0
2019-07-12 11:40:11,0,0
2019-07-12 11:40:10,0,0
2019-07-12 11:40:09,0,0
2019-07-12 11:40:08,0,-2.197074
2019-07-12 11:40:07,0,-2.802926
2019-07-12 11:40:06,0,0
2019-07-12 11:40:05,0,0
2019-07-12 11:40:04,0,0
2019-07-12 11:40:03,0,-1.3227447
2019-07-12 11:40:02,0,-1.6772553
2019-07-12 11:40:01,0,0
2019-07-12 11:40:00,0,0
2019-07-12 11:39:59,0,0
2019-07-12 11:39:58,0,-0.4383778
2019-07-12 11:39:57,0,-0.5616222
2019-07-12 11:39:56,0,0
2019-07-12 11:39:55,0,0
2019-07-12 11:39:54,0,-0.8760287
2019-07-12 11:39:53,0,-1.1239713
2019-07-12 11:39:52,0,0
2019-07-12 11:39:51,0,0
2019-07-12 11:39:50,0,0
2019-07-12 11:39:49,0,0
2019-07-12 11:39:48,0,-0.4394518
2019-07-12 11:39:47,0,-1.4430609
2019-07-12 11:39:46,0,-1.1174873
2019-07-12 11:39:45,0,0
2019-07-12 11:39:44,0,0
2019-07-12 11:39:43,0,0
2019-07-12 11:39:42,0,0
2019-07-12 11:39:41,0,0
2019-07-12 11:39:40,0,0
2019-07-12 11:39:39,0,0
2019-07-12 11:39:38,0,0
2019-07-12 11:39:37,0,-0.9178905
2019-07-12 11:39:36,0,-1.0821095
2019-07-12 11:39:35,0,0
2019-07-12 11:39:34,0,0
2019-07-12 11:39:33,0,0
2019-07-12 11:39:32,0,0
2019-07-12 11:39:31,0,0
2019-07-12 11:39:30,0,0
2019-07-12 11:39:29,0,0
2019-07-12 11:39:28,0,-2.308729
2019-07-12 11:39:27,0,-3.609276
2019-07-12 11:39:26,0,-1.0819953
2019-07-12 11:39:25,0,0
2019-07-12 11:39:24,0,0
2019-07-12 11:39:23,0,-0.4585164
2019-07-12 11:39:22,0,-0.5414836
2019-07-12 11:39:21,0,0
2019-07-12 11:39:20,0,0
2019-07-12 11:39:19,0,0
2019-07-12 11:39:18,0,0
2019-07-12 11:39:17,0,-0.9163903
2019-07-12 11:39:16,0,-1.0836097
2019-07-12 11:39:15,0,0
2019-07-12 11:39:14,0,0
2019-07-12 11:39:13,0,-0.4829088
2019-07-12 11:39:12,0,-0.5170912
2019-07-12 11:39:11,0,0
2019-07-12 11:39:10,0,0
2019-07-12 11:39:09,0,0
2019-07-12 11:39:08,0,0
2019-07-12 11:39:07,0,-0.9745403
2019-07-12 11:39:06,0,-1.0254597
2019-07-12 11:39:05,0,0
2019-07-12 11:39:04,0,0
2019-07-12 11:39:03,0,0
2019-07-12 11:39:02,0,0
2019-07-12 11:39:01,0,0
2019-07-12 11:39:00,0,0
2019-07-12 11:38:59,0,0
2019-07-12 11:38:58,0,0
2019-07-12 11:38:57,0,0
2019-07-12 11:38:56,0,0
2019-07-12 11:38:55,0,0
2019-07-12 11:38:54,0,-0.9663665
2019-07-12 11:38:53,0,-2.001249
2019-07-12 11:38:52,0,-1.0323845
2019-07-12 11:38:51,0,0
2019-07-12 11:38:50,0,0
2019-07-12 11:38:49,0,0
2019-07-12 11:38:48,0,-0.4834139
