time,running,blocked
2019-07-12 11:44:43,4,0
2019-07-12 11:44:42,4,0
2019-07-12 11:44:41,3,0
2019-07-12 11:44:40,4,0
2019-07-12 11:44:39,4,0
2019-07-12 11:44:38,2,0
2019-07-12 11:44:37,6,0
2019-07-12 11:44:36,3,0
2019-07-12 11:44:35,5,0
2019-07-12 11:44:34,2,0
2019-07-12 11:44:33,4,0
2019-07-12 11:44:32,3,0
2019-07-12 11:44:31,5,0
2019-07-12 11:44:30,4,0
2019-07-12 11:44:29,4,0
2019-07-12 11:44:28,3,0
2019-07-12 11:44:27,3,0
2019-07-12 11:44:26,3,0
2019-07-12 11:44:25,4,0
2019-07-12 11:44:24,3,0
2019-07-12 11:44:23,6,0
2019-07-12 11:44:22,4,0
2019-07-12 11:44:21,5,0
2019-07-12 11:44:20,3,0
2019-07-12 11:44:19,3,0
2019-07-12 11:44:18,3,0
2019-07-12 11:44:17,4,0
2019-07-12 11:44:16,4,0
2019-07-12 11:44:15,3,0
2019-07-12 11:44:14,4,0
2019-07-12 11:44:13,3,0
2019-07-12 11:44:12,4,0
2019-07-12 11:44:11,4,0
2019-07-12 11:44:10,3,0
2019-07-12 11:44:09,5,0
2019-07-12 11:44:08,3,0
2019-07-12 11:44:07,5,0
2019-07-12 11:44:06,2,0
2019-07-12 11:44:05,4,0
2019-07-12 11:44:04,3,0
2019-07-12 11:44:03,4,0
2019-07-12 11:44:02,4,0
2019-07-12 11:44:01,4,0
2019-07-12 11:44:00,3,0
2019-07-12 11:43:59,4,0
2019-07-12 11:43:58,4,0
2019-07-12 11:43:57,4,0
2019-07-12 11:43:56,4,0
2019-07-12 11:43:55,2,0
2019-07-12 11:43:54,4,0
2019-07-12 11:43:53,4,0
2019-07-12 11:43:52,6,0
2019-07-12 11:43:51,3,0
2019-07-12 11:43:50,4,0
2019-07-12 11:43:49,4,0
2019-07-12 11:43:48,3,0
2019-07-12 11:43:47,3,0
2019-07-12 11:43:46,3,0
2019-07-12 11:43:45,4,0
2019-07-12 11:43:44,2,0
2019-07-12 11:43:43,4,0
2019-07-12 11:43:42,3,0
2019-07-12 11:43:41,4,0
2019-07-12 11:43:40,5,0
2019-07-12 11:43:39,4,0
2019-07-12 11:43:38,4,0
2019-07-12 11:43:37,3,0
2019-07-12 11:43:36,4,0
2019-07-12 11:43:35,3,0
2019-07-12 11:43:34,2,0
2019-07-12 11:43:33,2,0
2019-07-12 11:43:32,2,0
2019-07-12 11:43:31,5,0
2019-07-12 11:43:30,4,0
2019-07-12 11:43:29,5,0
2019-07-12 11:43:28,4,0
2019-07-12 11:43:27,4,0
2019-07-12 11:43:26,4,0
2019-07-12 11:43:25,3,0
2019-07-12 11:43:24,5,0
2019-07-12 11:43:23,4,0
2019-07-12 11:43:22,3,0
2019-07-12 11:43:21,4,0
2019-07-12 11:43:20,3,0
2019-07-12 11:43:19,3,0
2019-07-12 11:43:18,4,0
2019-07-12 11:43:17,4,0
2019-07-12 11:43:16,3,0
2019-07-12 11:43:15,4,0
2019-07-12 11:43:14,5,0
2019-07-12 11:43:13,4,0
2019-07-12 11:43:12,3,0
2019-07-12 11:43:11,3,0
2019-07-12 11:43:10,5,0
2019-07-12 11:43:09,3,0
2019-07-12 11:43:08,4,0
2019-07-12 11:43:07,2,0
2019-07-12 11:43:06,5,0
2019-07-12 11:43:05,5,0
2019-07-12 11:43:04,5,0
2019-07-12 11:43:03,5,0
2019-07-12 11:43:02,4,0
2019-07-12 11:43:01,4,0
2019-07-12 11:43:00,4,0
2019-07-12 11:42:59,4,0
2019-07-12 11:42:58,5,0
2019-07-12 11:42:57,4,0
2019-07-12 11:42:56,2,0
2019-07-12 11:42:55,4,0
2019-07-12 11:42:54,4,0
2019-07-12 11:42:53,5,0
2019-07-12 11:42:52,3,0
2019-07-12 11:42:51,4,0
2019-07-12 11:42:50,3,0
2019-07-12 11:42:49,3,0
2019-07-12 11:42:48,4,0
2019-07-12 11:42:47,3,0
2019-07-12 11:42:46,4,0
2019-07-12 11:42:45,3,0
2019-07-12 11:42:44,4,0
2019-07-12 11:42:43,4,0
2019-07-12 11:42:42,3,0
2019-07-12 11:42:41,4,0
2019-07-12 11:42:40,4,0
2019-07-12 11:42:39,5,0
2019-07-12 11:42:38,3,0
2019-07-12 11:42:37,6,0
2019-07-12 11:42:36,4,0
2019-07-12 11:42:35,4,0
2019-07-12 11:42:34,4,0
2019-07-12 11:42:33,5,0
2019-07-12 11:42:32,3,0
2019-07-12 11:42:31,3,0
2019-07-12 11:42:30,4,0
2019-07-12 11:42:29,4,0
2019-07-12 11:42:28,2,0
2019-07-12 11:42:27,4,0
2019-07-12 11:42:26,4,0
2019-07-12 11:42:25,3,0
2019-07-12 11:42:24,5,0
2019-07-12 11:42:23,5,0
2019-07-12 11:42:22,4,0
2019-07-12 11:42:21,4,0
2019-07-12 11:42:20,4,0
2019-07-12 11:42:19,4,0
2019-07-12 11:42:18,3,0
2019-07-12 11:42:17,5,0
2019-07-12 11:42:16,3,0
2019-07-12 11:42:15,6,0
2019-07-12 11:42:14,2,0
2019-07-12 11:42:13,4,0
2019-07-12 11:42:12,4,0
2019-07-12 11:42:11,3,0
2019-07-12 11:42:10,3,0
2019-07-12 11:42:09,4,0
2019-07-12 11:42:08,4,0
2019-07-12 11:42:07,3,0
2019-07-12 11:42:06,3,0
2019-07-12 11:42:05,5,0
2019-07-12 11:42:04,5,0
2019-07-12 11:42:03,5,0
2019-07-12 11:42:02,4,0
2019-07-12 11:42:01,4,0
2019-07-12 11:42:00,4,0
2019-07-12 11:41:59,3,0
2019-07-12 11:41:58,4,0
2019-07-12 11:41:57,3,0
2019-07-12 11:41:56,5,0
2019-07-12 11:41:55,3,0
2019-07-12 11:41:54,3,0
2019-07-12 11:41:53,4,0
2019-07-12 11:41:52,4,0
2019-07-12 11:41:51,4,0
2019-07-12 11:41:50,4,0
2019-07-12 11:41:49,4,0
2019-07-12 11:41:48,5,0
2019-07-12 11:41:47,4,0
2019-07-12 11:41:46,4,0
2019-07-12 11:41:45,4,0
2019-07-12 11:41:44,4,0
2019-07-12 11:41:43,5,0
2019-07-12 11:41:42,4,0
2019-07-12 11:41:41,4,0
2019-07-12 11:41:40,4,0
2019-07-12 11:41:39,3,0
2019-07-12 11:41:38,6,0
2019-07-12 11:41:37,3,0
2019-07-12 11:41:36,5,0
2019-07-12 11:41:35,3,0
2019-07-12 11:41:34,6,0
2019-07-12 11:41:33,4,0
2019-07-12 11:41:32,5,0
2019-07-12 11:41:31,4,0
2019-07-12 11:41:30,4,0
