time,netdata,apps.plugin,node.d.plugin,python.d.plugin,go.d.plugin,nfs,containers,ksmd,system,kernel,other
2019-07-12 11:45:47,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:46,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:45,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:44,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:43,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:42,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:41,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:40,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:39,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:38,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:37,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:36,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:35,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:34,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:33,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:32,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:31,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:30,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:29,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:28,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:27,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:26,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:25,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:24,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:23,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:22,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:21,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:20,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:19,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:18,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:17,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:16,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:15,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:14,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:13,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:12,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:45:11,15,1,0,3,9,32,59,1,170,126,34
