time,received,sent
2019-07-12 11:42:13,4.219187,-3.003824
2019-07-12 11:42:12,0,0
2019-07-12 11:42:11,0,0
2019-07-12 11:42:10,0,0
2019-07-12 11:42:09,0,0
2019-07-12 11:42:08,0,0
2019-07-12 11:42:07,0,0
2019-07-12 11:42:06,0,0
2019-07-12 11:42:05,0,0
2019-07-12 11:42:04,0,0
2019-07-12 11:42:03,0,0
2019-07-12 11:42:02,0,0
2019-07-12 11:42:01,2.702132,-1.92693
2019-07-12 11:42:00,4.129868,-2.94507
2019-07-12 11:41:59,0,0
2019-07-12 11:41:58,0,0
2019-07-12 11:41:57,0,0
2019-07-12 11:41:56,0,0
2019-07-12 11:41:55,0,0
2019-07-12 11:41:54,0,0
2019-07-12 11:41:53,0,0
2019-07-12 11:41:52,0,0
2019-07-12 11:41:51,2.687419,-1.916438
2019-07-12 11:41:50,4.144581,-2.955562
2019-07-12 11:41:49,0,0
2019-07-12 11:41:48,0,0
2019-07-12 11:41:47,0,0
2019-07-12 11:41:46,0,0
2019-07-12 11:41:45,0,0
2019-07-12 11:41:44,0,0
2019-07-12 11:41:43,0,0
2019-07-12 11:41:42,0,0
2019-07-12 11:41:41,2.757895,-1.966695
2019-07-12 11:41:40,4.074105,-2.905305
2019-07-12 11:41:39,0,0
2019-07-12 11:41:38,0,0
2019-07-12 11:41:37,0,0
2019-07-12 11:41:36,0,0
2019-07-12 11:41:35,0,0
2019-07-12 11:41:34,0,0
2019-07-12 11:41:33,0,0
2019-07-12 11:41:32,0,0
2019-07-12 11:41:31,2.774236,-1.9751
2019-07-12 11:41:30,4.057764,-2.8889
2019-07-12 11:41:29,0,0
2019-07-12 11:41:28,0,0
2019-07-12 11:41:27,0,0
2019-07-12 11:41:26,0,0
2019-07-12 11:41:25,0,0
2019-07-12 11:41:24,0,0
2019-07-12 11:41:23,0,0
2019-07-12 11:41:22,0,0
2019-07-12 11:41:21,2.758304,-1.966987
2019-07-12 11:41:20,4.073696,-2.905013
2019-07-12 11:41:19,0,0
2019-07-12 11:41:18,0,0
2019-07-12 11:41:17,0,0
2019-07-12 11:41:16,0,0
2019-07-12 11:41:15,0,0
2019-07-12 11:41:14,0,0
2019-07-12 11:41:13,0,0
2019-07-12 11:41:12,0,0
2019-07-12 11:41:11,2.716464,-1.93715
2019-07-12 11:41:10,4.115536,-2.93485
2019-07-12 11:41:09,0,0
2019-07-12 11:41:08,0,0
2019-07-12 11:41:07,0,0
2019-07-12 11:41:06,0,0
2019-07-12 11:41:05,0,0
2019-07-12 11:41:04,0,0
2019-07-12 11:41:03,0,0
2019-07-12 11:41:02,0,0
2019-07-12 11:41:01,2.70475,-1.92563
2019-07-12 11:41:00,4.12725,-2.93837
2019-07-12 11:40:59,0,0
2019-07-12 11:40:58,0,0
2019-07-12 11:40:57,0,0
2019-07-12 11:40:56,0,0
2019-07-12 11:40:55,0,0
2019-07-12 11:40:54,0,0
2019-07-12 11:40:53,0,0
2019-07-12 11:40:52,0,0
2019-07-12 11:40:51,2.714812,-1.929615
2019-07-12 11:40:50,4.117188,-2.926385
2019-07-12 11:40:49,0,0
2019-07-12 11:40:48,0,0
2019-07-12 11:40:47,0,0
2019-07-12 11:40:46,0,0
2019-07-12 11:40:45,0,0
2019-07-12 11:40:44,0,0
2019-07-12 11:40:43,0,0
2019-07-12 11:40:42,0,0
2019-07-12 11:40:41,0,0
2019-07-12 11:40:40,0,0
2019-07-12 11:40:39,0,0
2019-07-12 11:40:38,0,0
2019-07-12 11:40:37,0,0
2019-07-12 11:40:36,2.862021,-2.027544
2019-07-12 11:40:35,3.969979,-2.812456
